OBJECTID,NAME,ESTATE_NAM,ESTATE_COD,Shape__Area,Shape__Length
1,LOUGHBOROUGH,LOUGHBOROUGH ESTATE,EA073,129439.742332459,2488.79495687401
2,ROUPELL PARK,ROUPELL PARK ESTATE,EA094,48230.8589324951,1011.30808318005
3,HYPERION HOUSE,HYPERION HOUSE ESTATE,EA060,5415.49559783936,345.725921933342
4,PALACE ROAD,PALACE ROAD ESTATE,EA085,60015.9726867676,1441.48948458001
5,PORTOBELLO,PORTOBELLO ESTATE,EA088,67600.6913909912,1161.65736959872
6,ROSENDALE GARDENS,ROSENDALE GARDENS ESTATE,EA093,34277.9797897339,1025.43365119407
7,SACKVILLE,SACKVILLE ESTATE,EA098,26717.1150054932,695.08643955701
8,STREATHAM HILL,STREATHAM HILL ESTATE,EA110,31864.1294631958,827.789938194454
9,VALLEY ROAD,VALLEY ROAD ESTATE,EA116,49971.4422225952,1320.77966991663
10,WOODVALE,WOODVALE ESTATE,EA129,34580.82371521,799.48290520217
11,YORK HILL,YORK HILL ESTATE,EA131,16944.2437286377,714.193703040355
12,ALBERT CARR GARDENS,ALBERT CARR GARDENS ESTATE,EA001,15766.9476776123,610.987715832903
13,BECONDALE,BECONDALE ESTATE,EA006,16566.5662307739,591.149897171015
14,BOSCOMBE GARDENS,BOSCOMBE GARDENS ESTATE,EA014,4096.6647567749,261.509184574836
15,CHARTERS CLOSE,CHARTERS CLOSE ESTATE,EA024,14072.3364181519,639.726909278676
16,CHESHIRE,CHESHIRE ESTATE,EA025,7279.95499420166,351.155945871097
17,CLAREMONT EAST,CLAREMONT ESTATE EAST,EA030,12788.5874786377,453.440349993749
18,CLAREMONT WEST,CLAREMONT ESTATE WEST,EA031,15562.120010376,725.055147763807
19,CLIVE ROAD,CLIVE ROAD ESTATE,EA033,15495.6266555786,1500.24047946353
20,DUNBAR DUNELM,DUNBAR DUNELM ESTATE,EA040,16432.6883010864,680.988810598781
21,HILLSIDE GARDENS,HILLSIDE GARDENS ESTATE,EA054,6673.91128540039,327.74580828719
22,LAIRDALE,LAIRDALE ESTATE,EA065,16814.6100387573,561.050340835925
23,LANERCOST CLOSE,LANERCOST CLOSE ESTATE,EA067,5701.87338256836,546.01456621535
24,RYAN COURT,RYAN COURT ESTATE,EA097,4416.80309295654,268.726014558673
25,ST LOUIS,ST LOUIS ESTATE,EA107,20029.5023651123,1011.2702698493
26,WALTHAM,WALTHAM ESTATE,EA120,22234.7403335571,828.253003371165
27,CEDARS,CEDARS ESTATE,EA022,51371.3247299194,2308.71047502253
28,COWLEY,COWLEY ESTATE,EA036,41862.1829528809,1637.49671417717
29,COTTINGTON CLOSE,COTTINGTON CLOSE ESTATE,EA034,25552.3631515503,739.821253518897
30,ANGELL TOWN,ANGELL TOWN ESTATE,EA003,55557.7637176514,2214.82779672334
31,WELLINGTON MILLS,WELLINGTON MILLS ESTATE,EA122,10824.5924453735,594.412139554073
32,LOTHIAN,LOTHIAN ESTATE,EA072,4767.65153503418,508.069622923922
33,BOWLANDS ROAD,BOWLANDS ROAD ESTATE,EA015,31186.5149383545,1106.36329891312
34,CANTERBURY GARDENS,CANTERBURY GARDENS ESTATE,EA020,21787.1553192139,837.936270113936
35,CLAPHAM MANOR,CLAPHAM MANOR ESTATE,EA027,71284.4188232422,1613.49895570879
36,CLARENCE AVENUE,CLARENCE AVENUE ESTATE,EA032,22689.0147171021,1002.39252366878
37,CRESSINGHAM GARDENS,CRESSINGHAM GARDENS ESTATE,EA037,41952.4292526245,1210.65250672128
38,DUMBARTON COURT,DUMBARTON COURT ESTATE,EA039,7485.3094329834,366.203652117475
39,HEATH ROAD,HEATH ROAD ESTATE,EA051,46858.7675476074,1731.55451762479
40,HAMILTON ROAD FLATS,HAMILTON ROAD FLATS,EB057,637.608734130859,107.975881934347
41,HOPTON COURT,HOPTON COURT ESTATE,EB064,787.298492431641,121.862857956261
42,JOE HUNTE COURT,JOE HUNTE COURT ESTATE,EB066,3753.31649017334,275.999138934088
43,LIMETREE CLOSE,LIMETREE CLOSE ESTATE,EB076,8581.380027771,388.042725339429
44,MARANDA COURT,MARANDA COURT ESTATE,EB079,676.221496582031,114.930425355265
45,MAYTREE WALK,MAYTREE WALK ESTATE,EB081,2499.27747344971,321.995018837126
46,MOUNT PLEASANT,MOUNT PLEASANT ESTATE,EB082,5929.6661605835,569.228416658974
47,NORTHWOOD HOUSE,NORTHWOOD HOUSE ESTATE,EB083,4820.95941162109,290.836453558788
48,NORWOOD ROAD,NORWOOD ROAD ESTATE,EB084,1493.97324371338,200.217730099
49,NORWOOD ROAD SHELTERED,NORWOOD ROAD SHELTERED,EB085,3495.14502716064,236.584909827248
50,QUEENSWOOD COURT,QUEENSWOOD COURT ESTATE,EB091,2829.38747406006,240.026732977715
51,ROMMANY COURT,ROMMANY COURT ESTATE,EB095,1225.97249603271,146.182278572267
52,ROMMANY ROAD FLATS,ROMMANY ROAD FLATS,EB096,738.388244628906,164.813693669469
53,ROUPELL ROAD,ROUPELL ROAD ESTATE,EB097,2996.23488616943,245.462321782796
54,RUSSELL COURT,RUSSELL COURT ESTATE,EB098,5961.39624786377,342.111754857263
55,SANDERS HOUSE,SANDERS HOUSE ESTATE,EB100,3365.03993225098,354.668172964277
56,SOMERVILLE COURT,SOMERVILLE COURT ESTATE,EB102,2681.30101013184,254.552933633261
57,ST ANSELMS COURT,ST ANSELMS COURT ESTATE,EB107,5151.3112411499,299.660323809956
58,ST GOTHARD ROAD,ST GOTHARD ROAD ESTATE,EB108,6075.09882354736,625.427921231959
59,STANTHORPE CLOSE,STANTHORPE CLOSE ESTATE,EB109,3426.75897979736,228.433341173429
60,THE GLEBE SHELTERED,THE GLEBE SHELTERED,EB111,4887.42288208008,344.635468469895
61,WILLIAM BROWN COURT,WILLIAM BROWN COURT ESTAT,EB117,3471.95124816895,248.703325396003
62,WINDSOR CLOSE,WINDSOR CLOSE ESTATE,EB118,10134.0423736572,474.012061387136
63,WISEMAN COURT,WISEMAN COURT ESTATE,EB119,4150.53495788574,271.600351124654
64,WOODLAND CLOSE FLATS,WOODLAND CLOSE FLATS,EB120,732.491241455078,109.955583092755
65,COTTON GARDENS,COTTON GARDENS ESTATE,EA035,15524.281288147,627.408907111866
66,HOLDERNESS,HOLDERNESS ESTATE,EA055,26656.0777511597,753.731130986188
67,LEIGHAM COURT,LEIGHAM COURT ESTATE,EA069,203914.746765137,2207.0120646377
68,LINTON GROVE,LINTON GROVE ESTATE,EA071,19901.2672042847,1141.82358195794
69,TELFORD AVENUE,TELFORD AVENUE ESTATE,EA112,3160.00860595703,244.575081844765
70,VINCENNES,VINCENNES ESTATE,EA119,15980.6523208618,735.588538988651
71,ALEXANDRA WALK,ALEXANDRA WALK ESTATE,EB002,3598.875,299.807257793933
72,AUCKLAND COURT,AUCKLAND COURT ESTATE,EB005,937.526260375977,123.539652698518
