LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
3fc67a6f04f6c9e003e0ba39a4622f1ec80e9b3c5df7e82f299ab5f0cf78ccc4,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
3fc67a6f04f6c9e003e0ba39a4622f1ec80e9b3c5df7e82f299ab5f0cf78ccc4,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
efde5c01461b3f56d8cfaec39860d3244f7f71e995c52ae2fe8e9cd974bdff75,1,Low energy lighting for all fixed outlets,Low energy lighting,35,,£15
194d0cccaded18c18ddd90f5e61d14b603649c243eecb287fa1139db007cbdec,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
953e7b3ffe108dc766f51b3c125474ab8475a8ff3fd4b6a07638e702c764bac7,1,Increase loft insulation to 270 mm,Increase loft insulation to 270 mm,5,,£100 - £350
953e7b3ffe108dc766f51b3c125474ab8475a8ff3fd4b6a07638e702c764bac7,2,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
41b4f8db6e078fd43320a6323417984ef8fece695b26496bd57f286e9b4ce1ad,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
41b4f8db6e078fd43320a6323417984ef8fece695b26496bd57f286e9b4ce1ad,2,Draught proofing,Draught proofing,10,,£80 - £120
41b4f8db6e078fd43320a6323417984ef8fece695b26496bd57f286e9b4ce1ad,3,High heat retention storage heaters,High heat retention storage heaters,62,,£400 - £600
7aab67598107d238d8b6c9cf33346631067c3ec8aa5912298ebb0bad530264ea,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
7aab67598107d238d8b6c9cf33346631067c3ec8aa5912298ebb0bad530264ea,2,Draught proofing,Draught proofing,10,,£80 - £120
7aab67598107d238d8b6c9cf33346631067c3ec8aa5912298ebb0bad530264ea,3,High heat retention storage heaters,High heat retention storage heaters,62,,£400 - £600
a181d62b09a18f918f38c2065d3a1b653f3280c5905e41e7b7e7276d3f274494,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
a181d62b09a18f918f38c2065d3a1b653f3280c5905e41e7b7e7276d3f274494,2,Draught proofing,Draught proofing,10,,£80 - £120
a181d62b09a18f918f38c2065d3a1b653f3280c5905e41e7b7e7276d3f274494,3,High heat retention storage heaters,High heat retention storage heaters,62,,£400 - £600
b33eb8ddf545617a3d7de5abe3bbb30b005b23475d3467ee9d6a1e140790bca8,1,High heat retention storage heaters,High heat retention storage heaters,62,,£400 - £600
f520fbc6c0da615bc4a4da376a310c07eeee01d2d38463081089b597ab1193df,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
f520fbc6c0da615bc4a4da376a310c07eeee01d2d38463081089b597ab1193df,2,High heat retention storage heaters,High heat retention storage heaters,62,,£400 - £600
8e95f9f5437f842736b6d623e1b43bd9e483ef8013c9bc3d082235fdcfe574bc,1,Replacement glazing units,Replacement glazing units,56,,"£1,000 - £1,400"
2473336eaa1be3a19e8b8fa714fc437d2cc571317714c1ebab73bd46ec577c23,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
2473336eaa1be3a19e8b8fa714fc437d2cc571317714c1ebab73bd46ec577c23,2,Party wall insulation,Party wall insulation,63,,£300 - £600
2473336eaa1be3a19e8b8fa714fc437d2cc571317714c1ebab73bd46ec577c23,3,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
2473336eaa1be3a19e8b8fa714fc437d2cc571317714c1ebab73bd46ec577c23,4,Low energy lighting for all fixed outlets,Low energy lighting,35,,£15
27c8f06a332003fb15e2d5dbbeba2a8885749a7a57b9f875a30196bbd7af474e,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
27c8f06a332003fb15e2d5dbbeba2a8885749a7a57b9f875a30196bbd7af474e,2,Replace boiler with new condensing boiler,Condensing boiler,20,,"£2,200 - £3,000"
486fce086742330f3d7686e119b02f6a3024a1b91fbde893800666c3b32ba11b,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
fd2024edf53e568d06b45e3ec5ec64612e681fa6101f3c4b21112ae9cb37e62e,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
84b7675a86a598d0e2929a7e176f3bc67cef5831b03c5d70a5e6886bf51464a3,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
a56b0e6facb2b83e0967d39d84080f3178e4ed1d9f9cbebe6ad1b766d4ab7b72,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
a56b0e6facb2b83e0967d39d84080f3178e4ed1d9f9cbebe6ad1b766d4ab7b72,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
a56b0e6facb2b83e0967d39d84080f3178e4ed1d9f9cbebe6ad1b766d4ab7b72,3,Low energy lighting for all fixed outlets,Low energy lighting,35,,£60
cf2a4835384e874965cfdb46542e45f078793973a1091753866babb3c5ed10dc,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
3043da82522f5a6098d487a4e649d80e4a4dbd49a6574acfa0a373dbf26749a9,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
3043da82522f5a6098d487a4e649d80e4a4dbd49a6574acfa0a373dbf26749a9,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
800560e33536c2beaaf6431643ee2a3ac05644c9dd019b5783226540cfaabf66,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
800560e33536c2beaaf6431643ee2a3ac05644c9dd019b5783226540cfaabf66,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£20
d7fbc5b1e178be5545eda7348cbe33b76eb4e1ed3a43923b298bb2dedc772682,1,High heat retention storage heaters,High heat retention storage heaters,62,,"£1,200 - £1,800"
d7fbc5b1e178be5545eda7348cbe33b76eb4e1ed3a43923b298bb2dedc772682,2,Heat recovery system for mixer showers,Heat recovery system for mixer showers,49,,£585 - £725
0311d10bd57aac6b80fa2e92384dc635cf02d0ed3258dc022fb97cea3e90cf82,1,Low energy lighting for all fixed outlets,Low energy lighting,35,,£15
0311d10bd57aac6b80fa2e92384dc635cf02d0ed3258dc022fb97cea3e90cf82,2,Heat recovery system for mixer showers,Heat recovery system for mixer showers,49,,£585 - £725
